date,category,subcategory,amount,type,description,month,month_num,year
2024-01-23,Food,Restaurants,2571.77,expense,Restaurants payment,January,1,2024
2024-01-23,Food,Food Delivery,1148.77,expense,Food Delivery payment,January,1,2024
2024-01-23,Transport,Metro,393.52,expense,Metro payment,January,1,2024
2024-01-23,Investment,Stocks,9171.42,expense,Stocks payment,January,1,2024
2024-01-24,Income,Freelance,17764.29,income,Freelance payment,January,1,2024
2024-01-24,Food,Coffee,404.2,expense,Coffee payment,January,1,2024
2024-01-24,Entertainment,Gaming,1906.51,expense,Gaming payment,January,1,2024
2024-01-24,Entertainment,Events,2300.19,expense,Events payment,January,1,2024
2024-01-24,Investment,Stocks,4551.17,expense,Stocks payment,January,1,2024
2024-01-25,Entertainment,Gaming,546.65,expense,Gaming payment,January,1,2024
2024-01-25,Entertainment,Events,1839.66,expense,Events payment,January,1,2024
2024-01-25,Investment,Crypto,1776.47,expense,Crypto payment,January,1,2024
2024-01-26,Income,Freelance,13012.03,income,Freelance payment,January,1,2024
2024-01-26,Food,Restaurants,2243.54,expense,Restaurants payment,January,1,2024
2024-01-26,Food,Food Delivery,451.54,expense,Food Delivery payment,January,1,2024
2024-01-26,Shopping,Clothing,4764.25,expense,Clothing payment,January,1,2024
2024-01-26,Investment,Stocks,7406.12,expense,Stocks payment,January,1,2024
2024-01-26,Investment,Mutual Funds,2895.19,expense,Mutual Funds payment,January,1,2024
2024-01-27,Income,Freelance,16466.65,income,Freelance payment,January,1,2024
2024-01-27,Food,Coffee,513.54,expense,Coffee payment,January,1,2024
2024-01-27,Transport,Metro,277.09,expense,Metro payment,January,1,2024
2024-01-27,Investment,Crypto,1010.7,expense,Crypto payment,January,1,2024
2024-01-28,Transport,Metro,374.95,expense,Metro payment,January,1,2024
2024-01-28,Investment,Stocks,4161.46,expense,Stocks payment,January,1,2024
2024-01-29,Income,Freelance,15330.17,income,Freelance payment,January,1,2024
2024-01-29,Food,Groceries,3481.39,expense,Groceries payment,January,1,2024
2024-01-29,Food,Coffee,248.27,expense,Coffee payment,January,1,2024
2024-01-29,Transport,Fuel,1559.79,expense,Fuel payment,January,1,2024
2024-01-29,Transport,Uber,545.62,expense,Uber payment,January,1,2024
2024-01-29,Transport,Metro,200.15,expense,Metro payment,January,1,2024
2024-01-29,Transport,Car Maintenance,4828.6,expense,Car Maintenance payment,January,1,2024
2024-01-29,Shopping,Electronics,11831.49,expense,Electronics payment,January,1,2024
2024-01-30,Income,Freelance,10219.42,income,Freelance payment,January,1,2024
2024-01-30,Food,Restaurants,1324.51,expense,Restaurants payment,January,1,2024
2024-01-30,Food,Food Delivery,1132.41,expense,Food Delivery payment,January,1,2024
2024-01-30,Transport,Metro,478.08,expense,Metro payment,January,1,2024
2024-01-31,Food,Coffee,756.6,expense,Coffee payment,January,1,2024
2024-01-31,Transport,Metro,379.3,expense,Metro payment,January,1,2024
2024-01-31,Transport,Car Maintenance,4879.16,expense,Car Maintenance payment,January,1,2024
2024-01-31,Shopping,Clothing,4969.03,expense,Clothing payment,January,1,2024
2024-01-31,Shopping,Books,865.71,expense,Books payment,January,1,2024
2024-02-01,Income,Salary,64802.45,income,Salary payment,February,2,2024
2024-02-01,Housing,Rent,15000.0,expense,Rent payment,February,2,2024
2024-02-01,Housing,Internet,699.0,expense,Internet payment,February,2,2024
2024-02-01,Entertainment,OTT Subscriptions,1290.01,expense,OTT Subscriptions payment,February,2,2024
2024-02-01,Health,Gym,2320.55,expense,Gym payment,February,2,2024
2024-02-01,Shopping,Books,630.86,expense,Books payment,February,2,2024
2024-02-02,Income,Salary,56886.52,income,Salary payment,February,2,2024
2024-02-02,Housing,Rent,15000.0,expense,Rent payment,February,2,2024
2024-02-02,Housing,Internet,699.0,expense,Internet payment,February,2,2024
2024-02-02,Food,Restaurants,2263.07,expense,Restaurants payment,February,2,2024
2024-02-02,Food,Food Delivery,1273.69,expense,Food Delivery payment,February,2,2024
2024-02-02,Transport,Metro,365.48,expense,Metro payment,February,2,2024
2024-02-02,Entertainment,OTT Subscriptions,1480.82,expense,OTT Subscriptions payment,February,2,2024
2024-02-02,Entertainment,Gaming,1104.12,expense,Gaming payment,February,2,2024
2024-02-02,Health,Gym,2369.7,expense,Gym payment,February,2,2024
2024-02-03,Income,Salary,61927.05,income,Salary payment,February,2,2024
2024-02-03,Housing,Rent,15000.0,expense,Rent payment,February,2,2024
2024-02-03,Housing,Internet,699.0,expense,Internet payment,February,2,2024
2024-02-03,Food,Coffee,631.23,expense,Coffee payment,February,2,2024
2024-02-03,Entertainment,OTT Subscriptions,535.9,expense,OTT Subscriptions payment,February,2,2024
2024-02-03,Entertainment,Movies,615.58,expense,Movies payment,February,2,2024
2024-02-03,Health,Gym,2246.77,expense,Gym payment,February,2,2024
2024-02-03,Health,Doctor,2084.37,expense,Doctor payment,February,2,2024
2024-02-03,Investment,Stocks,8573.0,expense,Stocks payment,February,2,2024
2024-02-03,Investment,Gold,3124.67,expense,Gold payment,February,2,2024
2024-02-04,Housing,Electricity,1845.01,expense,Electricity payment,February,2,2024
2024-02-04,Transport,Metro,465.13,expense,Metro payment,February,2,2024
2024-02-04,Transport,Car Maintenance,2575.17,expense,Car Maintenance payment,February,2,2024
2024-02-04,Entertainment,Events,2511.58,expense,Events payment,February,2,2024
2024-02-05,Food,Groceries,3724.44,expense,Groceries payment,February,2,2024
2024-02-05,Food,Coffee,795.62,expense,Coffee payment,February,2,2024
2024-02-05,Transport,Fuel,1942.85,expense,Fuel payment,February,2,2024
2024-02-05,Transport,Uber,982.36,expense,Uber payment,February,2,2024
2024-02-05,Health,Medicine,1291.53,expense,Medicine payment,February,2,2024
2024-02-06,Food,Restaurants,2115.85,expense,Restaurants payment,February,2,2024
2024-02-06,Food,Food Delivery,670.72,expense,Food Delivery payment,February,2,2024
2024-02-06,Transport,Metro,331.83,expense,Metro payment,February,2,2024
2024-02-06,Entertainment,Movies,447.56,expense,Movies payment,February,2,2024
2024-02-06,Health,Medicine,1170.93,expense,Medicine payment,February,2,2024
2024-02-07,Income,Freelance,19443.4,income,Freelance payment,February,2,2024
2024-02-07,Income,Dividends,2916.25,income,Dividends payment,February,2,2024
2024-02-07,Food,Coffee,787.97,expense,Coffee payment,February,2,2024
2024-02-07,Entertainment,Events,1841.43,expense,Events payment,February,2,2024
2024-02-07,Investment,Stocks,4636.75,expense,Stocks payment,February,2,2024
2024-02-07,Investment,Mutual Funds,7305.41,expense,Mutual Funds payment,February,2,2024
2024-02-08,Income,Freelance,17357.83,income,Freelance payment,February,2,2024
2024-02-08,Transport,Metro,478.5,expense,Metro payment,February,2,2024
2024-02-08,Entertainment,Gaming,1797.07,expense,Gaming payment,February,2,2024
2024-02-08,Entertainment,Events,1634.11,expense,Events payment,February,2,2024
2024-02-08,Investment,Mutual Funds,4936.08,expense,Mutual Funds payment,February,2,2024
2024-02-08,Savings,Emergency Fund,3111.59,expense,Emergency Fund payment,February,2,2024
2024-02-09,Housing,Maintenance,2214.2,expense,Maintenance payment,February,2,2024
2024-02-09,Food,Restaurants,1861.16,expense,Restaurants payment,February,2,2024
2024-02-09,Food,Food Delivery,1473.41,expense,Food Delivery payment,February,2,2024
2024-02-09,Transport,Metro,259.26,expense,Metro payment,February,2,2024
2024-02-09,Entertainment,Movies,724.02,expense,Movies payment,February,2,2024
2024-02-09,Shopping,Clothing,4147.18,expense,Clothing payment,February,2,2024
2024-02-09,Shopping,Home Decor,3040.6,expense,Home Decor payment,February,2,2024
2024-02-09,Shopping,Books,812.13,expense,Books payment,February,2,2024
2024-02-09,Savings,Emergency Fund,4701.59,expense,Emergency Fund payment,February,2,2024
2024-02-10,Income,Freelance,17876.09,income,Freelance payment,February,2,2024
2024-02-10,Income,Dividends,824.98,income,Dividends payment,February,2,2024
2024-02-10,Food,Coffee,596.63,expense,Coffee payment,February,2,2024
2024-02-10,Transport,Metro,105.94,expense,Metro payment,February,2,2024
2024-02-10,Health,Medicine,1535.09,expense,Medicine payment,February,2,2024
2024-02-10,Investment,Stocks,6526.87,expense,Stocks payment,February,2,2024
2024-02-10,Investment,Crypto,4132.91,expense,Crypto payment,February,2,2024
2024-02-11,Housing,Electricity,1374.78,expense,Electricity payment,February,2,2024
2024-02-11,Entertainment,Gaming,345.42,expense,Gaming payment,February,2,2024
2024-02-11,Health,Medicine,695.03,expense,Medicine payment,February,2,2024
2024-02-11,Investment,Crypto,3807.12,expense,Crypto payment,February,2,2024
2024-02-12,Food,Groceries,2685.48,expense,Groceries payment,February,2,2024
2024-02-12,Food,Coffee,403.36,expense,Coffee payment,February,2,2024
2024-02-12,Transport,Fuel,2180.25,expense,Fuel payment,February,2,2024
2024-02-12,Transport,Uber,532.79,expense,Uber payment,February,2,2024
2024-02-12,Transport,Metro,270.71,expense,Metro payment,February,2,2024
2024-02-12,Health,Medicine,1697.19,expense,Medicine payment,February,2,2024
2024-02-12,Health,Doctor,741.41,expense,Doctor payment,February,2,2024
2024-02-12,Investment,Crypto,2414.39,expense,Crypto payment,February,2,2024
2024-02-13,Food,Restaurants,1379.12,expense,Restaurants payment,February,2,2024
2024-02-13,Food,Food Delivery,993.5,expense,Food Delivery payment,February,2,2024
2024-02-13,Transport,Metro,362.69,expense,Metro payment,February,2,2024
2024-02-13,Entertainment,Movies,722.69,expense,Movies payment,February,2,2024
2024-02-13,Investment,Mutual Funds,7574.51,expense,Mutual Funds payment,February,2,2024
2024-02-14,Housing,Maintenance,2674.66,expense,Maintenance payment,February,2,2024
2024-02-14,Food,Coffee,539.79,expense,Coffee payment,February,2,2024
2024-02-14,Transport,Metro,156.75,expense,Metro payment,February,2,2024
2024-02-14,Entertainment,Movies,673.06,expense,Movies payment,February,2,2024
2024-02-14,Shopping,Books,242.09,expense,Books payment,February,2,2024
2024-02-15,Transport,Metro,271.97,expense,Metro payment,February,2,2024
2024-02-15,Health,Medicine,911.47,expense,Medicine payment,February,2,2024
2024-02-15,Shopping,Clothing,2205.68,expense,Clothing payment,February,2,2024
2024-02-15,Shopping,Home Decor,1649.84,expense,Home Decor payment,February,2,2024
2024-02-15,Investment,Stocks,8229.1,expense,Stocks payment,February,2,2024
2024-02-16,Housing,Electricity,1834.12,expense,Electricity payment,February,2,2024
2024-02-16,Housing,Maintenance,546.85,expense,Maintenance payment,February,2,2024
2024-02-16,Food,Restaurants,2802.91,expense,Restaurants payment,February,2,2024
2024-02-16,Food,Food Delivery,1334.53,expense,Food Delivery payment,February,2,2024
2024-02-16,Transport,Metro,329.36,expense,Metro payment,February,2,2024
2024-02-16,Entertainment,Gaming,237.54,expense,Gaming payment,February,2,2024
2024-02-16,Shopping,Home Decor,4300.18,expense,Home Decor payment,February,2,2024
2024-02-17,Housing,Maintenance,1774.88,expense,Maintenance payment,February,2,2024
2024-02-17,Food,Coffee,743.55,expense,Coffee payment,February,2,2024
2024-02-17,Transport,Metro,390.95,expense,Metro payment,February,2,2024
2024-02-17,Entertainment,Events,993.18,expense,Events payment,February,2,2024
2024-02-18,Transport,Metro,127.31,expense,Metro payment,February,2,2024
2024-02-18,Entertainment,Events,1768.34,expense,Events payment,February,2,2024
2024-02-18,Shopping,Clothing,4326.79,expense,Clothing payment,February,2,2024
2024-02-18,Shopping,Electronics,13235.25,expense,Electronics payment,February,2,2024
2024-02-19,Food,Groceries,3426.89,expense,Groceries payment,February,2,2024
2024-02-19,Food,Coffee,290.52,expense,Coffee payment,February,2,2024
2024-02-19,Transport,Fuel,1592.81,expense,Fuel payment,February,2,2024
2024-02-19,Transport,Uber,282.8,expense,Uber payment,February,2,2024
2024-02-20,Income,Dividends,736.26,income,Dividends payment,February,2,2024
2024-02-20,Food,Restaurants,2309.33,expense,Restaurants payment,February,2,2024
2024-02-20,Food,Food Delivery,1087.88,expense,Food Delivery payment,February,2,2024
2024-02-20,Entertainment,Events,1374.55,expense,Events payment,February,2,2024
2024-02-21,Food,Coffee,454.04,expense,Coffee payment,February,2,2024
2024-02-21,Transport,Metro,245.04,expense,Metro payment,February,2,2024
2024-02-21,Health,Doctor,692.91,expense,Doctor payment,February,2,2024
2024-02-21,Shopping,Electronics,12021.37,expense,Electronics payment,February,2,2024
2024-02-21,Investment,Stocks,5357.35,expense,Stocks payment,February,2,2024
2024-02-21,Investment,Crypto,2506.88,expense,Crypto payment,February,2,2024
2024-02-22,Transport,Metro,370.55,expense,Metro payment,February,2,2024
2024-02-23,Food,Restaurants,2503.15,expense,Restaurants payment,February,2,2024
2024-02-23,Food,Food Delivery,466.08,expense,Food Delivery payment,February,2,2024
2024-02-23,Transport,Metro,356.47,expense,Metro payment,February,2,2024
2024-02-23,Entertainment,Gaming,1722.61,expense,Gaming payment,February,2,2024
2024-02-23,Shopping,Home Decor,2468.63,expense,Home Decor payment,February,2,2024
2024-02-23,Investment,Gold,1213.03,expense,Gold payment,February,2,2024
2024-02-24,Housing,Maintenance,2827.06,expense,Maintenance payment,February,2,2024
2024-02-24,Food,Coffee,703.51,expense,Coffee payment,February,2,2024
2024-02-24,Entertainment,Movies,443.44,expense,Movies payment,February,2,2024
2024-02-24,Health,Medicine,1469.97,expense,Medicine payment,February,2,2024
2024-02-24,Shopping,Clothing,1316.9,expense,Clothing payment,February,2,2024
2024-02-24,Investment,Crypto,2152.41,expense,Crypto payment,February,2,2024
2024-02-24,Savings,Emergency Fund,3259.48,expense,Emergency Fund payment,February,2,2024
2024-02-25,Housing,Electricity,1886.18,expense,Electricity payment,February,2,2024
2024-02-25,Transport,Metro,306.15,expense,Metro payment,February,2,2024
2024-02-25,Entertainment,Movies,514.62,expense,Movies payment,February,2,2024
2024-02-25,Shopping,Clothing,4898.62,expense,Clothing payment,February,2,2024
2024-02-25,Shopping,Electronics,8838.77,expense,Electronics payment,February,2,2024
2024-02-26,Income,Dividends,2471.3,income,Dividends payment,February,2,2024
2024-02-26,Food,Groceries,3884.77,expense,Groceries payment,February,2,2024
2024-02-26,Food,Coffee,662.9,expense,Coffee payment,February,2,2024
2024-02-26,Transport,Fuel,2602.78,expense,Fuel payment,February,2,2024
2024-02-26,Transport,Uber,466.01,expense,Uber payment,February,2,2024
2024-02-26,Transport,Metro,318.41,expense,Metro payment,February,2,2024
2024-02-26,Shopping,Electronics,12090.48,expense,Electronics payment,February,2,2024
2024-02-26,Investment,Stocks,4396.29,expense,Stocks payment,February,2,2024
2024-02-26,Investment,Mutual Funds,7600.23,expense,Mutual Funds payment,February,2,2024
2024-02-27,Food,Restaurants,2452.1,expense,Restaurants payment,February,2,2024
2024-02-27,Food,Food Delivery,1338.96,expense,Food Delivery payment,February,2,2024
2024-02-27,Transport,Metro,149.79,expense,Metro payment,February,2,2024
2024-02-27,Investment,Crypto,3409.81,expense,Crypto payment,February,2,2024
2024-02-28,Income,Dividends,2152.3,income,Dividends payment,February,2,2024
2024-02-28,Food,Coffee,455.67,expense,Coffee payment,February,2,2024
2024-02-28,Entertainment,Movies,735.02,expense,Movies payment,February,2,2024
2024-02-28,Shopping,Electronics,10287.66,expense,Electronics payment,February,2,2024
2024-02-28,Investment,Crypto,3430.29,expense,Crypto payment,February,2,2024
2024-02-28,Savings,Emergency Fund,2201.7,expense,Emergency Fund payment,February,2,2024
2024-02-29,Shopping,Books,788.54,expense,Books payment,February,2,2024
2024-03-01,Income,Salary,59462.73,income,Salary payment,March,3,2024
2024-03-01,Housing,Rent,15000.0,expense,Rent payment,March,3,2024
2024-03-01,Housing,Internet,699.0,expense,Internet payment,March,3,2024
2024-03-01,Food,Restaurants,1630.11,expense,Restaurants payment,March,3,2024
2024-03-01,Food,Food Delivery,1378.41,expense,Food Delivery payment,March,3,2024
2024-03-01,Transport,Metro,135.12,expense,Metro payment,March,3,2024
2024-03-01,Entertainment,OTT Subscriptions,1345.52,expense,OTT Subscriptions payment,March,3,2024
2024-03-01,Entertainment,Events,1855.43,expense,Events payment,March,3,2024
2024-03-01,Health,Gym,2391.33,expense,Gym payment,March,3,2024
2024-03-01,Investment,Stocks,4406.86,expense,Stocks payment,March,3,2024
2024-03-01,Investment,Mutual Funds,6742.24,expense,Mutual Funds payment,March,3,2024
2024-03-01,Investment,Crypto,3216.09,expense,Crypto payment,March,3,2024
2024-03-02,Income,Salary,60516.47,income,Salary payment,March,3,2024
2024-03-02,Income,Dividends,1273.23,income,Dividends payment,March,3,2024
2024-03-02,Housing,Rent,15000.0,expense,Rent payment,March,3,2024
2024-03-02,Housing,Internet,699.0,expense,Internet payment,March,3,2024
2024-03-02,Food,Coffee,694.0,expense,Coffee payment,March,3,2024
2024-03-02,Transport,Metro,488.95,expense,Metro payment,March,3,2024
2024-03-02,Entertainment,OTT Subscriptions,949.97,expense,OTT Subscriptions payment,March,3,2024
2024-03-02,Health,Gym,2280.26,expense,Gym payment,March,3,2024
2024-03-02,Shopping,Books,299.33,expense,Books payment,March,3,2024
2024-03-03,Income,Salary,64409.04,income,Salary payment,March,3,2024
2024-03-03,Housing,Rent,15000.0,expense,Rent payment,March,3,2024
2024-03-03,Housing,Internet,699.0,expense,Internet payment,March,3,2024
2024-03-03,Housing,Maintenance,1257.06,expense,Maintenance payment,March,3,2024
2024-03-03,Transport,Metro,301.03,expense,Metro payment,March,3,2024
2024-03-03,Entertainment,OTT Subscriptions,1441.61,expense,OTT Subscriptions payment,March,3,2024
2024-03-03,Health,Gym,2105.14,expense,Gym payment,March,3,2024
2024-03-03,Shopping,Electronics,2591.0,expense,Electronics payment,March,3,2024
2024-03-04,Food,Groceries,4414.06,expense,Groceries payment,March,3,2024
2024-03-04,Food,Coffee,610.99,expense,Coffee payment,March,3,2024
2024-03-04,Transport,Fuel,1946.15,expense,Fuel payment,March,3,2024
2024-03-04,Transport,Uber,258.38,expense,Uber payment,March,3,2024
2024-03-04,Transport,Metro,275.84,expense,Metro payment,March,3,2024
2024-03-04,Shopping,Home Decor,2167.43,expense,Home Decor payment,March,3,2024
2024-03-04,Savings,Emergency Fund,2870.64,expense,Emergency Fund payment,March,3,2024
2024-03-05,Food,Restaurants,899.25,expense,Restaurants payment,March,3,2024
2024-03-05,Food,Food Delivery,692.92,expense,Food Delivery payment,March,3,2024
2024-03-05,Transport,Metro,225.09,expense,Metro payment,March,3,2024
2024-03-05,Health,Doctor,2863.08,expense,Doctor payment,March,3,2024
2024-03-05,Investment,Stocks,6464.26,expense,Stocks payment,March,3,2024
2024-03-06,Food,Coffee,658.31,expense,Coffee payment,March,3,2024
